Date,CustomerID,ProductID,ProductName,Category,Quantity,Price,CustomerRegion,Revenue,Month,Year,Quarter,Weekday,Month_Name
2024-10-21,764,36,Product_19,Clothing,1,79.13,South America,79.13,2024-10,2024,4,Monday,October
2024-09-15,572,49,Product_2,Electronics,1,55.81,Africa,55.81,2024-09,2024,3,Sunday,September
2023-06-09,9,41,Product_35,Books,5,51.86,Oceania,259.3,2023-06,2023,2,Friday,June
2023-12-04,706,35,Product_16,Sports,3,22.6,South America,67.80000000000001,2023-12,2023,4,Monday,December
2024-05-18,896,8,Product_7,Books,2,11.25,Oceania,22.5,2024-05,2024,2,Saturday,May
2023-08-18,365,8,Product_27,Books,3,21.39,Africa,64.17,2023-08,2023,3,Friday,August
2024-10-20,516,35,Product_49,Electronics,2,53.15,Africa,106.3,2024-10,2024,4,Sunday,October
2024-05-11,302,31,Product_35,Home & Garden,2,60.25,Asia,120.5,2024-05,2024,2,Saturday,May
2023-05-08,18,25,Product_42,Toys,2,65.71,Asia,131.42,2023-05,2023,2,Monday,May
2024-05-04,386,26,Product_17,Electronics,1,15.62,Europe,15.62,2024-05,2024,2,Saturday,May
2024-06-21,867,50,Product_25,Sports,1,26.18,South America,26.18,2024-06,2024,2,Friday,June
2023-12-20,834,32,Product_23,Toys,1,37.68,Oceania,37.68,2023-12,2023,4,Wednesday,December
2023-05-05,150,22,Product_49,Home & Garden,1,54.18,Africa,54.18,2023-05,2023,2,Friday,May
2024-07-25,620,5,Product_39,Home & Garden,2,5.67,South America,11.34,2024-07,2024,3,Thursday,July
2024-10-17,269,50,Product_42,Beauty,1,12.1,Europe,12.1,2024-10,2024,4,Thursday,October
2024-04-18,117,23,Product_9,Home & Garden,1,4.78,Europe,4.78,2024-04,2024,2,Thursday,April
2023-04-06,638,48,Product_25,Sports,3,11.84,Asia,35.519999999999996,2023-04,2023,2,Thursday,April
2023-03-27,697,29,Product_14,Home & Garden,1,49.78459523809524,Oceania,49.78459523809524,2023-03,2023,1,Monday,March
2024-03-28,204,16,Product_26,Clothing,2,4.75,Africa,9.5,2024-03,2024,1,Thursday,March
2023-04-10,802,31,Product_10,Clothing,4,12.21,Europe,48.84,2023-04,2023,2,Monday,April
2024-05-11,988,32,Product_27,Home & Garden,3,68.0,North America,204.0,2024-05,2024,2,Saturday,May
2023-06-17,842,43,Product_44,Sports,1,44.0,Europe,44.0,2023-06,2023,2,Saturday,June
2023-09-10,499,50,Product_35,Toys,1,77.25,Europe,77.25,2023-09,2023,3,Sunday,September
2023-04-25,617,7,Product_4,Clothing,5,28.4,North America,142.0,2023-04,2023,2,Tuesday,April
2023-07-11,739,49,Product_35,Home & Garden,2,114.57,North America,229.14,2023-07,2023,3,Tuesday,July
2023-09-30,881,20,Product_48,Electronics,2,29.03,North America,58.06,2023-09,2023,3,Saturday,September
2023-03-17,265,7,Product_28,Beauty,3,48.53,Africa,145.59,2023-03,2023,1,Friday,March
2024-04-28,565,23,Product_16,Electronics,1,20.72,Europe,20.72,2024-04,2024,2,Sunday,April
2024-02-02,223,5,Product_35,Toys,7,27.39,Europe,191.73000000000002,2024-02,2024,1,Friday,February
2024-05-31,29,37,Product_38,Books,3,11.43,Africa,34.29,2024-05,2024,2,Friday,May
2023-05-12,804,6,Product_31,Books,4,32.65,Europe,130.6,2023-05,2023,2,Friday,May
2024-10-21,476,8,Product_41,Toys,4,41.52,Oceania,166.08,2024-10,2024,4,Monday,October
2023-04-27,134,44,Product_45,Sports,1,43.96,Africa,43.96,2023-04,2023,2,Thursday,April
2023-09-16,656,23,Product_11,Home & Garden,1,19.32,Europe,19.32,2023-09,2023,3,Saturday,September
2023-12-14,676,26,Product_8,Clothing,1,34.54,South America,34.54,2023-12,2023,4,Thursday,December
2024-12-04,923,17,Product_9,Electronics,3,37.83,North America,113.49,2024-12,2024,4,Wednesday,December
2024-03-25,10,30,Product_50,Books,1,66.31,North America,66.31,2024-03,2024,1,Monday,March
2024-01-09,65,18,Product_32,Toys,1,53.67,Africa,53.67,2024-01,2024,1,Tuesday,January
2024-09-01,105,35,Product_1,Sports,1,38.94,North America,38.94,2024-09,2024,3,Sunday,September
2024-12-09,863,5,Product_38,Books,6,15.84,Africa,95.03999999999999,2024-12,2024,4,Monday,December
2024-03-21,449,49,Product_40,Clothing,1,37.24,Europe,37.24,2024-03,2024,1,Thursday,March
2024-03-13,118,3,Product_50,Home & Garden,2,56.5,Africa,113.0,2024-03,2024,1,Wednesday,March
2023-06-15,481,24,Product_15,Home & Garden,2,35.69,North America,71.38,2023-06,2023,2,Thursday,June
2024-05-22,852,24,Product_5,Clothing,2,106.33,Asia,212.66,2024-05,2024,2,Wednesday,May
2023-04-21,761,23,Product_16,Toys,2,21.79,Asia,43.58,2023-04,2023,2,Friday,April
2023-04-03,672,50,Product_19,Sports,1,122.39,Africa,122.39,2023-04,2023,2,Monday,April
2024-05-27,645,41,Product_12,Clothing,1,13.42,North America,13.42,2024-05,2024,2,Monday,May
2023-08-02,239,30,Product_43,Toys,1,14.32,North America,14.32,2023-08,2023,3,Wednesday,August
2023-09-10,692,15,Product_47,Toys,3,34.03,Asia,102.09,2023-09,2023,3,Sunday,September
2023-01-07,3,47,Product_23,Beauty,1,45.92,Oceania,45.92,2023-01,2023,1,Saturday,January
2023-01-15,192,25,Product_37,Home & Garden,1,15.94,South America,15.94,2023-01,2023,1,Sunday,January
2024-06-20,145,13,Product_20,Electronics,3,23.91,Europe,71.73,2024-06,2024,2,Thursday,June
2024-09-14,776,40,Product_49,Home & Garden,1,19.31,Europe,19.31,2024-09,2024,3,Saturday,September
2024-03-18,952,45,Product_6,Sports,1,11.08,Oceania,11.08,2024-03,2024,1,Monday,March
2024-05-17,624,4,Product_30,Books,1,73.07,Oceania,73.07,2024-05,2024,2,Friday,May
2024-08-28,504,38,Product_2,Toys,3,46.53,South America,139.59,2024-08,2024,3,Wednesday,August
2024-12-24,225,20,Product_49,Home & Garden,1,9.29,Asia,9.29,2024-12,2024,4,Tuesday,December
2024-05-25,868,13,Product_43,Books,1,73.08,Europe,73.08,2024-05,2024,2,Saturday,May
2023-09-18,919,10,Product_44,Clothing,2,88.54,Oceania,177.08,2023-09,2023,3,Monday,September
2024-02-23,606,31,Product_49,Sports,2,71.86,North America,143.72,2024-02,2024,1,Friday,February
2024-08-10,995,35,Product_1,Beauty,1,63.3,South America,63.3,2024-08,2024,3,Saturday,August
2023-10-18,725,37,Product_5,Books,2,59.87,North America,119.74,2023-10,2023,4,Wednesday,October
2024-02-06,296,8,Product_39,Beauty,3,5.84,Europe,17.52,2024-02,2024,1,Tuesday,February
2024-09-07,104,39,Product_6,Beauty,3,82.84,North America,248.52,2024-09,2024,3,Saturday,September
2024-04-22,231,27,Product_36,Sports,1,74.62,Oceania,74.62,2024-04,2024,2,Monday,April
2024-06-05,517,10,Product_33,Beauty,1,19.69,South America,19.69,2024-06,2024,2,Wednesday,June
2023-03-10,660,11,Product_10,Beauty,1,145.24,Asia,145.24,2023-03,2023,1,Friday,March
2024-01-31,218,13,Product_40,Beauty,1,76.42,South America,76.42,2024-01,2024,1,Wednesday,January
2023-12-22,324,5,Product_37,Toys,1,18.16,Oceania,18.16,2023-12,2023,4,Friday,December
2023-02-20,29,14,Product_40,Electronics,2,43.49,Africa,86.98,2023-02,2023,1,Monday,February
2024-03-06,969,9,Product_10,Home & Garden,2,87.9,Europe,175.8,2024-03,2024,1,Wednesday,March
2023-03-16,806,2,Product_7,Clothing,3,35.8,South America,107.39999999999999,2023-03,2023,1,Thursday,March
2024-12-10,501,24,Product_33,Electronics,3,52.61,North America,157.82999999999998,2024-12,2024,4,Tuesday,December
2023-03-25,361,49,Product_20,Beauty,2,15.96,Asia,31.92,2023-03,2023,1,Saturday,March
2024-12-23,318,32,Product_30,Sports,4,15.0,Asia,60.0,2024-12,2024,4,Monday,December
2023-06-24,194,28,Product_49,Clothing,2,25.9,Europe,51.8,2023-06,2023,2,Saturday,June
2024-04-02,979,46,Product_34,Home & Garden,5,34.92,Asia,174.60000000000002,2024-04,2024,2,Tuesday,April
2023-11-24,54,47,Product_37,Books,10,7.43,Europe,74.3,2023-11,2023,4,Friday,November
2024-11-03,151,21,Product_19,Sports,7,18.84,Asia,131.88,2024-11,2024,4,Sunday,November
2024-04-15,119,12,Product_20,Sports,2,30.91,South America,61.82,2024-04,2024,2,Monday,April
2023-10-07,593,10,Product_30,Books,3,58.85,Europe,176.55,2023-10,2023,4,Saturday,October
2023-08-25,281,39,Product_9,Beauty,2,52.02,Oceania,104.04,2023-08,2023,3,Friday,August
2023-05-26,128,21,Product_42,Home & Garden,1,65.17,Oceania,65.17,2023-05,2023,2,Friday,May
2024-01-13,588,23,Product_42,Beauty,1,50.49,North America,50.49,2024-01,2024,1,Saturday,January
2024-03-30,906,45,Product_17,Clothing,2,82.11,Oceania,164.22,2024-03,2024,1,Saturday,March
2023-12-29,705,36,Product_26,Sports,1,101.68,Asia,101.68,2023-12,2023,4,Friday,December
2023-11-06,98,47,Product_24,Beauty,1,19.16,Europe,19.16,2023-11,2023,4,Monday,November
2024-07-01,751,20,Product_19,Books,3,28.01,North America,84.03,2024-07,2024,3,Monday,July
2024-10-02,217,43,Product_40,Clothing,1,168.58,South America,168.58,2024-10,2024,4,Wednesday,October
2023-06-21,435,30,Product_38,Clothing,1,82.26,North America,82.26,2023-06,2023,2,Wednesday,June
2023-11-26,569,49,Product_47,Home & Garden,7,25.27,North America,176.89,2023-11,2023,4,Sunday,November
2024-04-10,89,12,Product_15,Books,2,57.13,Africa,114.26,2024-04,2024,2,Wednesday,April
2023-03-27,250,7,Product_14,Toys,5,48.74,Asia,243.70000000000002,2023-03,2023,1,Monday,March
2024-02-06,443,42,Product_39,Electronics,2,83.96,Europe,167.92,2024-02,2024,1,Tuesday,February
2023-07-02,983,44,Product_39,Toys,4,40.07,South America,160.28,2023-07,2023,3,Sunday,July
2024-03-25,311,35,Product_42,Clothing,1,44.38,Asia,44.38,2024-03,2024,1,Monday,March
2023-02-08,814,29,Product_49,Sports,1,86.38,South America,86.38,2023-02,2023,1,Wednesday,February
2023-08-27,377,10,Product_30,Electronics,2,41.38,Europe,82.76,2023-08,2023,3,Sunday,August
2023-11-20,146,37,Product_25,Electronics,1,37.47,North America,37.47,2023-11,2023,4,Monday,November
2023-12-10,964,12,Product_37,Sports,4,74.68,South America,298.72,2023-12,2023,4,Sunday,December
2024-07-24,584,20,Product_29,Toys,2,49.78459523809524,North America,99.56919047619049,2024-07,2024,3,Wednesday,July
2024-05-04,419,50,Product_18,Beauty,5,58.74,Africa,293.7,2024-05,2024,2,Saturday,May
2024-09-01,267,41,Product_3,Books,1,51.59,Africa,51.59,2024-09,2024,3,Sunday,September
2024-01-30,955,34,Product_24,Home & Garden,1,53.42,Europe,53.42,2024-01,2024,1,Tuesday,January
2024-03-29,37,48,Product_13,Home & Garden,1,41.14,Africa,41.14,2024-03,2024,1,Friday,March
2023-12-29,557,25,Product_42,Home & Garden,3,30.82,Europe,92.46000000000001,2023-12,2023,4,Friday,December
2023-12-22,258,14,Product_13,Sports,1,20.14,Asia,20.14,2023-12,2023,4,Friday,December
2023-04-23,233,17,Product_40,Toys,1,34.93,Europe,34.93,2023-04,2023,2,Sunday,April
2023-08-21,224,34,Product_28,Home & Garden,1,48.09,South America,48.09,2023-08,2023,3,Monday,August
2023-01-07,29,11,Product_33,Beauty,2,22.06,Europe,44.12,2023-01,2023,1,Saturday,January
2024-03-05,738,29,Product_4,Electronics,1,44.6,Asia,44.6,2024-03,2024,1,Tuesday,March
2023-05-10,687,14,Product_20,Beauty,1,91.76,Oceania,91.76,2023-05,2023,2,Wednesday,May
2024-03-15,604,29,Product_21,Toys,2,77.88,Africa,155.76,2024-03,2024,1,Friday,March
2023-06-12,832,49,Product_25,Home & Garden,3,35.35,Africa,106.05000000000001,2023-06,2023,2,Monday,June
2023-11-05,520,15,Product_27,Beauty,1,24.01,Europe,24.01,2023-11,2023,4,Sunday,November
2024-07-11,527,25,Product_30,Beauty,2,79.83,North America,159.66,2024-07,2024,3,Thursday,July
2024-12-26,501,2,Product_24,Books,3,18.15,Oceania,54.449999999999996,2024-12,2024,4,Thursday,December
2024-11-02,463,16,Product_22,Home & Garden,3,48.76,Africa,146.28,2024-11,2024,4,Saturday,November
2024-08-11,116,26,Product_22,Toys,1,4.4,Oceania,4.4,2024-08,2024,3,Sunday,August
2023-05-02,143,34,Product_42,Toys,2,48.84,North America,97.68,2023-05,2023,2,Tuesday,May
2023-11-10,22,26,Product_3,Toys,3,49.78459523809524,Asia,149.35378571428572,2023-11,2023,4,Friday,November
2024-08-16,966,18,Product_19,Beauty,2,26.81,Asia,53.62,2024-08,2024,3,Friday,August
2023-02-04,445,29,Product_15,Electronics,3,55.31,Oceania,165.93,2023-02,2023,1,Saturday,February
2024-06-15,956,24,Product_50,Electronics,2,84.6,South America,169.2,2024-06,2024,2,Saturday,June
2024-07-31,335,34,Product_36,Beauty,3,23.51,North America,70.53,2024-07,2024,3,Wednesday,July
2024-06-03,100,48,Product_30,Toys,2,2.87,Oceania,5.74,2024-06,2024,2,Monday,June
2024-07-06,318,47,Product_14,Toys,2,49.78459523809524,Africa,99.56919047619049,2024-07,2024,3,Saturday,July
2023-09-18,449,40,Product_12,Home & Garden,2,38.93,Oceania,77.86,2023-09,2023,3,Monday,September
2024-08-14,970,29,Product_10,Home & Garden,2,49.78459523809524,South America,99.56919047619049,2024-08,2024,3,Wednesday,August
2023-09-08,957,20,Product_50,Beauty,1,69.84,Asia,69.84,2023-09,2023,3,Friday,September
2023-07-17,485,5,Product_33,Electronics,3,43.37,Oceania,130.10999999999999,2023-07,2023,3,Monday,July
2023-08-05,306,29,Product_39,Toys,1,57.06,Oceania,57.06,2023-08,2023,3,Saturday,August
2023-11-04,336,50,Product_42,Home & Garden,3,4.08,Oceania,12.24,2023-11,2023,4,Saturday,November
2024-05-31,495,22,Product_47,Clothing,3,67.18,North America,201.54000000000002,2024-05,2024,2,Friday,May
2024-08-10,987,8,Product_25,Beauty,6,27.11,Oceania,162.66,2024-08,2024,3,Saturday,August
2024-02-01,279,19,Product_45,Books,1,13.28,Africa,13.28,2024-02,2024,1,Thursday,February
2024-10-16,65,12,Product_7,Toys,2,24.26,Europe,48.52,2024-10,2024,4,Wednesday,October
2023-09-24,867,8,Product_46,Beauty,2,11.89,Europe,23.78,2023-09,2023,3,Sunday,September
2024-05-12,364,43,Product_45,Sports,1,69.73,South America,69.73,2024-05,2024,2,Sunday,May
2024-02-03,793,36,Product_11,Books,1,35.86,Africa,35.86,2024-02,2024,1,Saturday,February
2024-01-08,564,46,Product_27,Sports,2,62.19,Europe,124.38,2024-01,2024,1,Monday,January
2023-01-02,945,13,Product_4,Clothing,1,62.06,Africa,62.06,2023-01,2023,1,Monday,January
2023-06-08,583,49,Product_42,Sports,2,17.58,North America,35.16,2023-06,2023,2,Thursday,June
2023-06-21,376,45,Product_42,Toys,4,59.96,Africa,239.84,2023-06,2023,2,Wednesday,June
2024-11-12,584,24,Product_16,Electronics,3,12.27,South America,36.81,2024-11,2024,4,Tuesday,November
2023-06-16,202,25,Product_18,Books,3,65.65,North America,196.95000000000002,2023-06,2023,2,Friday,June
2024-10-23,432,37,Product_15,Books,2,56.5,Africa,113.0,2024-10,2024,4,Wednesday,October
2024-03-16,254,25,Product_2,Books,3,85.19,Oceania,255.57,2024-03,2024,1,Saturday,March
2024-07-07,288,39,Product_45,Beauty,2,27.04,North America,54.08,2024-07,2024,3,Sunday,July
2023-03-11,425,39,Product_4,Sports,1,24.65,Oceania,24.65,2023-03,2023,1,Saturday,March
2024-12-12,562,3,Product_44,Sports,1,68.65,South America,68.65,2024-12,2024,4,Thursday,December
2024-09-05,209,35,Product_34,Toys,1,62.41,North America,62.41,2024-09,2024,3,Thursday,September
2023-11-07,208,42,Product_30,Electronics,1,44.17,South America,44.17,2023-11,2023,4,Tuesday,November
2024-05-29,656,30,Product_45,Toys,1,94.36,Oceania,94.36,2024-05,2024,2,Wednesday,May
2024-02-10,978,8,Product_39,Electronics,2,49.78459523809524,South America,99.56919047619049,2024-02,2024,1,Saturday,February
2024-04-25,663,50,Product_45,Clothing,1,43.63,Oceania,43.63,2024-04,2024,2,Thursday,April
2024-02-11,666,4,Product_18,Toys,1,8.3,South America,8.3,2024-02,2024,1,Sunday,February
2023-04-11,244,42,Product_12,Toys,2,54.9,Asia,109.8,2023-04,2023,2,Tuesday,April
2023-01-07,948,14,Product_9,Toys,1,145.43,Europe,145.43,2023-01,2023,1,Saturday,January
2023-07-25,788,18,Product_10,Electronics,2,16.6,Oceania,33.2,2023-07,2023,3,Tuesday,July
2024-01-16,436,3,Product_35,Electronics,2,52.18,South America,104.36,2024-01,2024,1,Tuesday,January
2024-06-20,79,4,Product_45,Home & Garden,1,66.69,Africa,66.69,2024-06,2024,2,Thursday,June
2024-03-22,390,32,Product_29,Books,2,46.42,Asia,92.84,2024-03,2024,1,Friday,March
2023-12-11,642,11,Product_50,Sports,3,22.71,South America,68.13,2023-12,2023,4,Monday,December
2024-08-31,260,4,Product_39,Electronics,1,75.78,South America,75.78,2024-08,2024,3,Saturday,August
2023-05-04,422,39,Product_50,Toys,3,5.15,Africa,15.450000000000001,2023-05,2023,2,Thursday,May
2024-08-20,645,2,Product_27,Sports,1,203.65,Europe,203.65,2024-08,2024,3,Tuesday,August
2024-04-15,826,39,Product_5,Electronics,3,11.01,Africa,33.03,2024-04,2024,2,Monday,April
2023-11-04,768,26,Product_4,Clothing,3,21.59,South America,64.77,2023-11,2023,4,Saturday,November
2024-02-26,554,21,Product_42,Sports,1,51.8,Europe,51.8,2024-02,2024,1,Monday,February
2024-07-25,560,29,Product_33,Clothing,4,22.25,Oceania,89.0,2024-07,2024,3,Thursday,July
2023-07-19,945,15,Product_17,Home & Garden,2,40.7,North America,81.4,2023-07,2023,3,Wednesday,July
2023-03-28,43,1,Product_45,Books,1,50.61,Africa,50.61,2023-03,2023,1,Tuesday,March
2024-07-03,623,32,Product_48,Home & Garden,4,48.05,South America,192.2,2024-07,2024,3,Wednesday,July
2024-01-17,836,14,Product_41,Electronics,3,39.35,Africa,118.05000000000001,2024-01,2024,1,Wednesday,January
2024-11-23,160,31,Product_16,Home & Garden,1,15.85,Europe,15.85,2024-11,2024,4,Saturday,November
2023-07-02,969,25,Product_40,Books,2,52.68,Asia,105.36,2023-07,2023,3,Sunday,July
2024-11-16,113,21,Product_35,Clothing,7,36.52,Oceania,255.64000000000001,2024-11,2024,4,Saturday,November
2023-12-26,238,7,Product_23,Home & Garden,1,89.53,South America,89.53,2023-12,2023,4,Tuesday,December
2024-04-10,770,29,Product_21,Toys,1,20.83,Asia,20.83,2024-04,2024,2,Wednesday,April
2023-05-08,229,47,Product_8,Clothing,4,65.21,Europe,260.84,2023-05,2023,2,Monday,May
2024-05-05,473,10,Product_21,Beauty,1,93.45,Oceania,93.45,2024-05,2024,2,Sunday,May
2023-08-22,602,12,Product_17,Beauty,2,49.78459523809524,Asia,99.56919047619049,2023-08,2023,3,Tuesday,August
2023-03-11,824,19,Product_37,Clothing,2,49.35,Africa,98.7,2023-03,2023,1,Saturday,March
2024-02-09,202,38,Product_46,Home & Garden,1,79.6,South America,79.6,2024-02,2024,1,Friday,February
2023-08-09,526,3,Product_24,Sports,3,84.23,South America,252.69,2023-08,2023,3,Wednesday,August
2023-11-15,878,19,Product_22,Sports,4,49.78459523809524,Africa,199.13838095238097,2023-11,2023,4,Wednesday,November
2023-12-16,183,49,Product_33,Clothing,1,64.95,Oceania,64.95,2023-12,2023,4,Saturday,December
2023-06-10,401,6,Product_4,Home & Garden,1,68.51,Oceania,68.51,2023-06,2023,2,Saturday,June
2023-05-04,75,39,Product_9,Clothing,1,10.71,North America,10.71,2023-05,2023,2,Thursday,May
2023-09-11,630,45,Product_6,Electronics,2,14.09,Europe,28.18,2023-09,2023,3,Monday,September
2024-08-03,349,37,Product_20,Electronics,4,33.43,North America,133.72,2024-08,2024,3,Saturday,August
2024-07-01,725,30,Product_24,Home & Garden,1,17.02,Asia,17.02,2024-07,2024,3,Monday,July
2023-08-08,270,10,Product_16,Beauty,2,47.54,Europe,95.08,2023-08,2023,3,Tuesday,August
2023-09-07,875,21,Product_4,Clothing,2,36.44,Asia,72.88,2023-09,2023,3,Thursday,September
2023-05-28,472,15,Product_48,Toys,4,20.06,Asia,80.24,2023-05,2023,2,Sunday,May
2024-01-19,908,41,Product_33,Clothing,2,64.65,North America,129.3,2024-01,2024,1,Friday,January
2024-08-15,664,34,Product_28,Clothing,4,34.49,Oceania,137.96,2024-08,2024,3,Thursday,August
2023-04-22,57,2,Product_10,Clothing,3,90.91,Oceania,272.73,2023-04,2023,2,Saturday,April
2024-07-24,650,35,Product_49,Toys,4,54.31,Oceania,217.24,2024-07,2024,3,Wednesday,July
2024-01-16,680,28,Product_26,Electronics,1,20.06,Oceania,20.06,2024-01,2024,1,Tuesday,January
2023-02-13,97,42,Product_35,Beauty,2,37.7,South America,75.4,2023-02,2023,1,Monday,February
2024-08-08,8,24,Product_28,Electronics,3,19.28,Europe,57.84,2024-08,2024,3,Thursday,August
2024-07-07,828,20,Product_6,Home & Garden,1,72.67,Oceania,72.67,2024-07,2024,3,Sunday,July
2023-08-08,129,8,Product_37,Home & Garden,5,33.49,North America,167.45000000000002,2023-08,2023,3,Tuesday,August
2024-07-28,109,21,Product_30,Sports,4,25.07,South America,100.28,2024-07,2024,3,Sunday,July
2024-10-27,382,5,Product_35,Sports,1,51.26,Oceania,51.26,2024-10,2024,4,Sunday,October
2023-07-30,572,44,Product_11,Clothing,2,99.11,Europe,198.22,2023-07,2023,3,Sunday,July
2023-10-04,156,26,Product_33,Sports,3,40.93,Oceania,122.78999999999999,2023-10,2023,4,Wednesday,October
2023-09-30,837,44,Product_11,Beauty,2,14.02,South America,28.04,2023-09,2023,3,Saturday,September
2023-02-16,935,6,Product_9,Home & Garden,2,92.96,South America,185.92,2023-02,2023,1,Thursday,February
2024-03-17,921,47,Product_38,Toys,1,84.47,South America,84.47,2024-03,2024,1,Sunday,March
2024-02-05,551,9,Product_35,Home & Garden,3,11.98,Asia,35.94,2024-02,2024,1,Monday,February
2023-12-20,888,46,Product_38,Beauty,6,26.67,Europe,160.02,2023-12,2023,4,Wednesday,December
2024-09-05,727,22,Product_48,Electronics,4,38.81,North America,155.24,2024-09,2024,3,Thursday,September
2024-09-27,375,19,Product_47,Home & Garden,1,54.68,Oceania,54.68,2024-09,2024,3,Friday,September
2023-09-22,320,33,Product_25,Beauty,2,133.61,South America,267.22,2023-09,2023,3,Friday,September
2023-03-09,988,8,Product_2,Electronics,1,95.79,South America,95.79,2023-03,2023,1,Thursday,March
2023-02-04,779,46,Product_50,Sports,1,45.48,Asia,45.48,2023-02,2023,1,Saturday,February
2024-11-14,929,9,Product_9,Home & Garden,1,27.09,Oceania,27.09,2024-11,2024,4,Thursday,November
2024-07-12,527,41,Product_19,Clothing,1,49.94,Oceania,49.94,2024-07,2024,3,Friday,July
2024-05-19,669,4,Product_7,Home & Garden,1,33.92,Europe,33.92,2024-05,2024,2,Sunday,May
2023-06-11,347,41,Product_1,Toys,2,2.28,Oceania,4.56,2023-06,2023,2,Sunday,June
2024-12-30,283,8,Product_19,Home & Garden,3,26.02,South America,78.06,2024-12,2024,4,Monday,December
2024-11-19,653,38,Product_49,Beauty,1,166.93,South America,166.93,2024-11,2024,4,Tuesday,November
2024-08-24,807,21,Product_49,Beauty,1,74.57,North America,74.57,2024-08,2024,3,Saturday,August
2024-07-24,935,41,Product_39,Sports,1,25.57,Oceania,25.57,2024-07,2024,3,Wednesday,July
2024-07-10,1,40,Product_44,Books,4,27.94,North America,111.76,2024-07,2024,3,Wednesday,July
2024-11-17,852,18,Product_18,Clothing,4,46.59,South America,186.36,2024-11,2024,4,Sunday,November
2023-04-23,737,12,Product_15,Electronics,4,48.7,South America,194.8,2023-04,2023,2,Sunday,April
2023-12-23,213,49,Product_31,Electronics,6,13.8,Europe,82.80000000000001,2023-12,2023,4,Saturday,December
2023-01-30,188,44,Product_34,Books,3,78.93,Europe,236.79000000000002,2023-01,2023,1,Monday,January
2023-04-28,612,33,Product_24,Toys,1,29.93,South America,29.93,2023-04,2023,2,Friday,April
2024-10-30,202,18,Product_28,Books,1,45.98,North America,45.98,2024-10,2024,4,Wednesday,October
2024-07-29,325,8,Product_34,Home & Garden,2,49.78459523809524,Oceania,99.56919047619049,2024-07,2024,3,Monday,July
2023-12-29,448,27,Product_42,Books,1,44.9,Africa,44.9,2023-12,2023,4,Friday,December
2024-06-25,938,37,Product_37,Clothing,2,42.13,Asia,84.26,2024-06,2024,2,Tuesday,June
2024-03-06,638,17,Product_45,Beauty,1,46.91,Europe,46.91,2024-03,2024,1,Wednesday,March
2023-12-25,836,1,Product_28,Toys,1,44.48,Asia,44.48,2023-12,2023,4,Monday,December
2024-03-10,509,17,Product_35,Home & Garden,1,35.84,South America,35.84,2024-03,2024,1,Sunday,March
2024-01-30,487,28,Product_5,Electronics,2,18.67,Oceania,37.34,2024-01,2024,1,Tuesday,January
2024-11-25,762,36,Product_38,Books,3,42.61,North America,127.83,2024-11,2024,4,Monday,November
2024-07-28,806,3,Product_5,Sports,3,35.41,Oceania,106.22999999999999,2024-07,2024,3,Sunday,July
2024-11-13,835,10,Product_42,Beauty,4,46.38,Europe,185.52,2024-11,2024,4,Wednesday,November
2023-04-23,488,7,Product_30,Toys,1,49.78459523809524,Africa,49.78459523809524,2023-04,2023,2,Sunday,April
2024-10-09,901,9,Product_1,Home & Garden,1,10.33,Europe,10.33,2024-10,2024,4,Wednesday,October
